,activity_id,assay_chembl_id,bao_endpoint,bao_format,bao_label,canonical_smiles,molecule_chembl_id,parent_molecule_chembl_id,pchembl_value,potential_duplicate,relation,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id
12,84710,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,C=Cc1ccc2c(-c3[nH]c4ccccc4c3N=O)c(O)[nH]c2c1,CHEMBL369823,CHEMBL369823,6.38,0,=,1,=,,IC50,nM,,420.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
13,84713,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cccc(Cl)c23)=Nc2ccccc21,CHEMBL176306,CHEMBL176306,5.00,0,=,1,=,,IC50,nM,,10000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
14,85835,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2cc(Br)ccc21,CHEMBL170347,CHEMBL170347,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
15,85838,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\O,CHEMBL409450,CHEMBL409450,7.08,0,=,1,=,,IC50,nM,,83.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
16,86751,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2cc(Br)ccc12,CHEMBL354042,CHEMBL354042,5.92,0,=,1,=,,IC50,nM,,1200.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
17,87848,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CO/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,CHEMBL170138,CHEMBL170138,6.40,0,=,1,=,,IC50,nM,,400.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
18,87851,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,C=Cc1ccc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2c1,CHEMBL175053,CHEMBL175053,5.62,0,=,1,=,,IC50,nM,,2400.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
19,88763,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,Cn1c(O)c(C2=Nc3ccccc3C2=O)c2ccc(Br)cc21,CHEMBL174473,CHEMBL174473,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
20,91696,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,Cc1cc2c(-c3[nH]c4ccccc4c3N=O)c(O)[nH]c2cc1Br,CHEMBL175155,CHEMBL175155,6.89,0,=,1,=,,IC50,nM,,130.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
21,91699,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1C(=C2/C(=O)Nc3cc(Cl)c(Cl)cc32)/Nc2ccccc2/1,CHEMBL253769,CHEMBL253769,7.00,0,=,1,=,,IC50,nM,,100.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
22,91702,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)=Nc2ccccc21,CHEMBL368112,CHEMBL368112,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
23,93781,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(I)ccc23)=Nc2ccccc21,CHEMBL174343,CHEMBL174343,5.28,0,=,1,=,,IC50,nM,,5300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
24,94735,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,CHEMBL126077,CHEMBL126077,7.00,0,=,1,=,,IC50,nM,,100.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
25,94738,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,Cc1cc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2cc1Br,CHEMBL173178,CHEMBL173178,4.22,0,=,1,=,,IC50,nM,,60000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
26,96781,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(I)ccc23)[nH]c2ccccc12,CHEMBL177146,CHEMBL177146,6.52,0,=,1,=,,IC50,nM,,300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
27,97829,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,CHEMBL1276127,CHEMBL1276127,5.00,0,=,1,=,,IC50,nM,,10000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
28,97832,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Cl)ccc23)=Nc2ccccc21,CHEMBL369220,CHEMBL369220,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
29,97835,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c(C)cc23)=Nc2ccccc21,CHEMBL174612,CHEMBL174612,4.52,0,=,1,=,,IC50,nM,,30000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
30,101775,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3ccccc23)=Nc2cc(Br)ccc21,CHEMBL367687,CHEMBL367687,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
31,101778,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(F)ccc23)=Nc2ccccc21,CHEMBL172540,CHEMBL172540,6.00,0,=,1,=,,IC50,nM,,1000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
32,101781,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Cl)c(Cl)cc23)=Nc2ccccc21,CHEMBL367664,CHEMBL367664,4.22,0,=,1,=,,IC50,nM,,60000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
33,101784,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(Cl)c(Cl)cc23)[nH]c2ccccc12,CHEMBL366414,CHEMBL366414,7.22,0,=,1,=,,IC50,nM,,60.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
34,102783,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2cc(Br)ccc12,CHEMBL441109,CHEMBL441109,5.89,0,=,1,=,,IC50,nM,,1300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
35,103719,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1C(=C2/C(=O)Nc3cc(Br)ccc32)/Nc2ccccc2/1,CHEMBL430226,CHEMBL430226,5.62,0,=,1,=,,IC50,nM,,2400.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
36,103722,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2ccccc21,CHEMBL366438,CHEMBL366438,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
37,104767,CHEMBL663602,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)[nH]c2ccccc12,CHEMBL170640,CHEMBL170640,6.82,0,=,1,=,,IC50,nM,,150.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
38,177446,CHEMBL664798,BAO_0001103,BAO_0000223,protein complex format,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ncc(C(F)(F)F)cc1Cl,CHEMBL111620,CHEMBL111620,,0,=,0,=,,Activity,%,,25.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
39,178759,CHEMBL664798,BAO_0001103,BAO_0000223,protein complex format,COCCCn1cc(C2=C(c3ccccc3O)C(=O)NC2=O)c2cccnc21,CHEMBL109944,CHEMBL109944,,0,=,0,=,,Activity,%,,9.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
40,182506,CHEMBL664798,BAO_0001103,BAO_0000223,protein complex format,COc1ccccc1C1=C(c2cn(CCCNC(=O)OC(C)(C)C)c3ncccc23)C(=O)NC1=O,CHEMBL109981,CHEMBL109981,,0,=,0,=,,Activity,%,,2.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
41,393893,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,CCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,CHEMBL308293,CHEMBL308293,6.30,0,=,1,=,,IC50,nM,,500.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
42,393896,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,CCCCCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,CHEMBL76741,CHEMBL76741,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
43,395321,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2[nH]c3nccnc3c2C)cc1,CHEMBL77264,CHEMBL77264,6.10,0,=,1,=,,IC50,nM,,800.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
44,395324,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,CHEMBL75680,CHEMBL75680,6.70,0,=,1,=,,IC50,nM,,200.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
45,395329,CHEMBL663601,BAO_0000190,BAO_0000223,protein complex format,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,CHEMBL75680,CHEMBL75680,6.80,0,=,1,=,,IC50,nM,,160.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
46,396629,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Clc1ccc(C2(c3cc4[nH]ccnc-4n3)CC2)cc1,CHEMBL307941,CHEMBL307941,4.00,0,=,1,=,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
47,397836,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,c1coc(-c2cc3[nH]ccnc-3n2)c1,CHEMBL305627,CHEMBL305627,5.03,0,=,1,=,,IC50,nM,,9300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
48,397839,CHEMBL665010,BAO_0000190,BAO_0000223,protein complex format,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,CHEMBL428690,CHEMBL428690,6.77,0,=,1,=,,IC50,nM,,170.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
49,399096,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Clc1ccc(-c2[nH]c3nccnc3c2Cc2ccccc2)cc1,CHEMBL310036,CHEMBL310036,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
50,401765,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,c1c[nH]c2cc(-c3ccc(C4OCCO4)cc3)nc-2n1,CHEMBL77267,CHEMBL77267,4.82,0,=,1,=,,IC50,nM,,15000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
51,403172,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2[nH]c3nccnc3c2CCCCl)cc1,CHEMBL76942,CHEMBL76942,5.52,0,=,1,=,,IC50,nM,,3000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
52,403175,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2[nH]c3nccnc3c2CC2CC2)cc1,CHEMBL76740,CHEMBL76740,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
53,404771,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Oc1ccccc1-c1cc2[nH]ccnc-2n1,CHEMBL77584,CHEMBL77584,5.52,0,=,1,=,,IC50,nM,,3000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
54,404774,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Oc1ccc(-c2cc3[nH]ccnc-3n2)cc1,CHEMBL80785,CHEMBL80785,6.00,0,=,1,=,,IC50,nM,,1000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
55,404811,CHEMBL665012,BAO_0000190,BAO_0000223,protein complex format,CCOC(=O)c1cnc2oc3ccc(O)cc3c2c1C,CHEMBL335027,CHEMBL335027,,0,,0,,,IC50,nM,,,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
56,404812,CHEMBL664796,BAO_0000201,BAO_0000223,protein complex format,CCOC(=O)c1cnc2oc3ccc(O)cc3c2c1C,CHEMBL335027,CHEMBL335027,,0,=,1,=,,Inhibition,%,,3.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
57,405916,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,c1ccc(-c2cc3[nH]ccnc-3n2)nc1,CHEMBL77416,CHEMBL77416,4.28,0,=,1,=,,IC50,nM,,53000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
58,407222,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2cc3[nH]ccnc-3n2)cc1,CHEMBL77066,CHEMBL77066,5.40,0,=,1,=,,IC50,nM,,4000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
59,407225,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,COc1cc(OC)cc(-c2cc3[nH]ccnc-3n2)c1,CHEMBL77002,CHEMBL77002,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
60,407228,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,C=CCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,CHEMBL76941,CHEMBL76941,5.70,0,=,1,=,,IC50,nM,,2000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
61,407231,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,CCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,CHEMBL306498,CHEMBL306498,5.82,0,=,1,=,,IC50,nM,,1500.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
62,408328,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Cc1c(-c2ccc(OS(=O)(=O)N(C)C)cc2)[nH]c2nccnc12,CHEMBL77540,CHEMBL77540,6.05,0,=,1,=,,IC50,nM,,900.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
63,408331,CHEMBL665011,BAO_0000190,BAO_0000223,protein complex format,CCOC(=O)c1cnc2oc3ccc(OC(C)=O)cc3c2c1-c1ccccc1,CHEMBL170774,CHEMBL170774,,0,,0,,,IC50,nM,,,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
64,409542,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,c1ccc(-c2cc3[nH]ccnc-3n2)cc1,CHEMBL305901,CHEMBL305901,5.40,0,=,1,=,,IC50,nM,,4000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
65,409545,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,c1ccc(Cc2c(-c3ccccc3)[nH]c3nccnc23)cc1,CHEMBL77469,CHEMBL77469,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
66,410746,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Clc1cc(Cl)cc(-c2cc3[nH]ccnc-3n2)c1,CHEMBL76660,CHEMBL76660,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
67,410749,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,FC(F)(F)c1ccc(-c2cc3[nH]ccnc-3n2)cc1,CHEMBL77210,CHEMBL77210,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
68,412043,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Fc1ccc(-c2cc3[nH]ccnc-3n2)cc1,CHEMBL306263,CHEMBL306263,6.00,0,=,1,=,,IC50,nM,,1000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
69,412046,CHEMBL665010,BAO_0000190,BAO_0000223,protein complex format,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,CHEMBL296586,CHEMBL296586,6.07,0,=,1,=,,IC50,nM,,850.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
70,413232,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2cc3[nH]ccnc-3n2)cc(OC)c1OC,CHEMBL312065,CHEMBL312065,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
71,414385,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,CCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,CHEMBL77095,CHEMBL77095,5.92,0,=,1,=,,IC50,nM,,1200.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
72,414388,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,c1csc(-c2cc3[nH]ccnc-3n2)c1,CHEMBL74015,CHEMBL74015,5.70,0,=,1,=,,IC50,nM,,2000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
73,414391,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,c1ccc2c(-c3cc4[nH]ccnc-4n3)cccc2c1,CHEMBL78264,CHEMBL78264,4.10,0,=,1,=,,IC50,nM,,80000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
74,415694,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2[nH]c3nccnc3c2C)cc1OC,CHEMBL419273,CHEMBL419273,6.00,0,=,1,=,,IC50,nM,,1000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
75,415697,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Cc1c[nH]c2cc(-c3ccccc3)nc-2n1,CHEMBL311935,CHEMBL311935,4.00,0,=,1,=,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
76,416925,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,N#Cc1ccc(-c2cc3[nH]ccnc-3n2)cc1,CHEMBL77697,CHEMBL77697,4.89,0,=,1,=,,IC50,nM,,13000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
77,416928,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,CC(C)c1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,CHEMBL77217,CHEMBL77217,4.89,0,=,1,=,,IC50,nM,,13000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
78,416931,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Cc1c(C2(c3ccc(Cl)cc3)CC2)[nH]c2nccnc12,CHEMBL76427,CHEMBL76427,4.00,0,=,1,=,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
79,418135,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,Clc1ccc(-c2[nH]c3nccnc3c2CC2CCCCC2)cc1,CHEMBL306347,CHEMBL306347,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
80,419152,CHEMBL663599,BAO_0000190,BAO_0000019,assay format,CCCCc1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,CHEMBL306355,CHEMBL306355,,0,>,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
81,419182,CHEMBL665012,BAO_0000190,BAO_0000223,protein complex format,CC(=O)c1cnc2oc3ccc(O)cc3c2c1C,CHEMBL335518,CHEMBL335518,,0,,0,,,IC50,nM,,,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
82,419183,CHEMBL664796,BAO_0000201,BAO_0000223,protein complex format,CC(=O)c1cnc2oc3ccc(O)cc3c2c1C,CHEMBL335518,CHEMBL335518,,0,=,1,=,,Inhibition,%,,10.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606
